time,symbol,price,signal,action_taken,balance,position,portfolio_value
2026-08-05T19:16:02.713584+00:00,BTC/USD,64840.3,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-05T19:27:16.566738+00:00,BTC/USD,64856.3,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-05T20:55:14.341945+00:00,BTC/USD,64846.2,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-05T21:23:48.671683+00:00,BTC/USD,64647.5,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-05T22:45:12.083202+00:00,BTC/USD,64637.2,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-06T08:05:46.363250+00:00,BTC/USD,64752.8,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-07T01:44:55.532491+00:00,BTC/USD,64299.1,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-07T06:01:34.776051+00:00,BTC/USD,64264.3,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-07T09:40:55.388549+00:00,BTC/USD,64866.3,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-07T12:02:41.773253+00:00,BTC/USD,64998.9,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-07T15:14:03.723243+00:00,BTC/USD,64896.4,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-07T18:02:26.088820+00:00,BTC/USD,64794.9,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-07T20:10:02.723352+00:00,BTC/USD,64948.1,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-07T22:08:45.576068+00:00,BTC/USD,64892.7,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-07T23:52:04.265436+00:00,BTC/USD,64879.7,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-08T04:00:08.542044+00:00,BTC/USD,64981.2,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-08T06:06:19.145413+00:00,BTC/USD,64955.1,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-08T08:09:01.218735+00:00,BTC/USD,64924.5,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-08T10:03:42.346469+00:00,BTC/USD,64957.0,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-08T11:45:03.919740+00:00,BTC/USD,64925.9,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-08T14:02:08.007050+00:00,BTC/USD,64974.3,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-08T15:15:42.066493+00:00,BTC/USD,65055.7,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-08T17:05:32.370882+00:00,BTC/USD,65036.1,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-08T18:04:53.927879+00:00,BTC/USD,65076.9,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-08T19:45:46.580704+00:00,BTC/USD,64988.7,SELL,HOLD,1000.0,0.0,1000.0
2026-08-08T21:04:38.064869+00:00,BTC/USD,65030.7,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-08T22:02:53.495510+00:00,BTC/USD,64969.3,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-08T23:14:17.439711+00:00,BTC/USD,64889.5,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-09T04:05:05.250488+00:00,BTC/USD,64736.2,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-09T06:31:58.499782+00:00,BTC/USD,64782.2,HOLD,HOLD,1000.0,0.0,1000.0
